lookAtPositionX,lookAtPositionY,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,noseSneerLeft,noseSneerRight,facePositionX,facePositionY,facePositionZ,faceEulerAnglesX,faceEulerAnglesY,faceEulerAnglesZ,leftEyePositionX,leftEyePositionY,leftEyePositionZ,leftEyeEulerAnglesX,leftEyeEulerAnglesY,leftEyeEulerAnglesZ,rightEyePositionX,rightEyePositionY,rightEyePositionZ,rightEyeEulerAnglesX,rightEyeEulerAnglesY,rightEyeEulerAnglesZ
0.34173453,0.48032945,0.0782271,0.25953525,0.03378537,0.0,0.0,0.1374566,0.0012037435,0.0702374,0.25992772,0.08753216,0.0,0.0,0.13745897,0.0012219604,0.11830449,0.11845682,0.13593335,0.0,0.0,0.049613856,0.03579815,0.0226291,0.062124778,0.06080874,0.4513746,0.6130933,0.36360294,0.7506025,0.6640445,0.52227044,0.5165522,0.5148694,0.5138615,0.57928985,0.48981127,0.4983707,0.48335359,0.5150376,0.514044,0.5795049,0.5263995,0.50423145
0.5542692,0.51371443,0.105702564,0.24884817,0.048679367,0.0,0.0,0.124093145,6.170054e-07,0.09957989,0.24939731,0.071291186,0.0,0.0,0.124064736,6.206615e-07,0.059840333,0.060506944,0.16522676,1.3048995e-06,1.3008887e-06,0.04194701,0.03183217,0.02100939,0.064641565,0.061654933,0.45178086,0.6208726,0.36318564,0.74006534,0.66285706,0.5262256,0.5165429,0.51485676,0.51382625,0.5759421,0.48534894,0.4977578,0.4833623,0.51501995,0.5140053,0.576148,0.52158,0.5033111
0.79684776,0.36736506,0.18406405,0.35338965,0.062005244,0.0,0.0,0.08846803,1.987316e-13,0.17992876,0.3541238,0.05693722,0.0,0.0,0.08848537,1.9990861e-13,0.15473604,0.15653323,0.16214444,4.2029512e-13,4.1900362e-13,0.029998956,0.03773743,0.02965241,0.08052411,0.08543826,0.45148474,0.62862337,0.3632788,0.6775136,0.72048104,0.46948963,0.51651967,0.51484114,0.5137692,0.60790646,0.48153606,0.4959532,0.4833733,0.5150044,0.5139511,0.608119,0.5170244,0.503739
0.41089648,0.96913517,0.28409785,0.33955735,0.0,0.0034488537,0.0,0.11268951,6.955218e-20,0.27744076,0.33931226,0.12262359,0.0,0.0,0.11267126,6.996421e-20,0.016751809,0.017158687,0.20386183,0.012252251,0.012014976,0.041215815,0.034966644,0.0244033,0.076335095,0.069086425,0.45040372,0.619388,0.36753017,0.74305105,0.6430098,0.5449407,0.51652217,0.51483613,0.51376325,0.6037117,0.5010308,0.50021696,0.48336828,0.5149961,0.5139419,0.60391974,0.5366501,0.5077214
0.76355237,0.15000743,0.035813175,0.09950492,0.102789134,0.0,0.0,0.13500223,0.0061239735,0.034124963,0.10028629,0.015345843,0.0,0.0,0.13472438,0.0062343227,0.097982086,0.09835657,0.16503993,4.193676e-07,4.145004e-07,0.033938475,0.034151692,0.021976722,0.071845196,0.06815381,0.45134544,0.6183378,0.3665201,0.7327814,0.67549,0.54577655,0.51652503,0.5148253,0.51378185,0.5304522,0.46866325,0.49809036,0.48335585,0.5149808,0.5139529,0.5306323,0.50467867,0.500287
0.16349488,0.93985975,0.3052584,0.30198956,0.038896725,0.0,0.0,0.20374168,3.3512954e-08,0.30383095,0.3023463,0.08132908,0.0,0.0,0.20386976,3.3783074e-08,0.032494,0.03234092,0.21548852,0.0060135927,0.0060671526,0.08003652,0.056338035,0.04094108,0.123620056,0.1197094,0.41732538,0.62483984,0.40464067,0.79495025,0.88520896,0.45840088,0.51652944,0.51480186,0.5137643,0.59226686,0.4883187,0.4978198,0.4833529,0.51495385,0.5139264,0.59246194,0.52441496,0.5045651
0.73026824,0.15228575,0.13137768,0.26707754,0.014562665,0.0,0.0,0.2603149,1.079419e-14,0.13077071,0.267196,0.10278026,0.0,0.0,0.2606896,1.0881187e-14,0.094646275,0.0946098,0.20677818,2.2505421e-07,2.2385665e-07,0.10192144,0.06709663,0.05588454,0.12621024,0.1134706,0.38099754,0.61920446,0.42880744,0.73598266,0.993227,0.49483964,0.51654774,0.5147828,0.51376563,0.58157754,0.49561018,0.49927735,0.48334035,0.5149373,0.51393133,0.5817688,0.5309737,0.5051076
0.6683469,0.43593216,0.13398337,0.31357378,0.0,0.028640619,0.0,0.066776134,1.5260024e-08,0.1335171,0.31299007,0.15018813,0.0,0.0,0.06682058,1.5413002e-08,0.2728056,0.27281544,0.05420272,3.494185e-07,3.4957932e-07,0.04679463,0.037612636,0.03390879,0.09439381,0.09142687,0.40987098,0.62117624,0.40634042,0.83608526,0.7822802,0.59313214,0.5165529,0.51478595,0.51377374,0.59579295,0.508582,0.5016645,0.48333547,0.51493984,0.51394063,0.59599423,0.54502845,0.50874
0.09683186,0.13929975,0.014829896,0.23771535,0.1264455,0.0,0.0,0.06081342,0.0034026967,0.014665041,0.2390447,0.0,0.004238268,0.0,0.060796335,0.0034343495,0.2873777,0.28730372,0.0517865,1.12544204e-13,1.1259595e-13,0.08378233,0.02374651,0.020135883,0.07830429,0.07788507,0.49100757,0.6013957,0.36401612,0.7184268,0.52247936,0.5178438,0.51656896,0.51479954,0.51379395,0.572807,0.46177205,0.4943995,0.48332348,0.51495004,0.5139571,0.5729992,0.49870485,0.49980956
0.6584039,0.95517707,0.17885946,0.38061813,0.074544266,0.0,0.0,0.07338826,9.920299e-08,0.17707546,0.38150507,0.047410592,0.0,0.0,0.07343576,9.957122e-08,0.19234613,0.18768924,0.11191765,3.9388328e-20,3.9406403e-20,0.05505425,0.031708,0.025765758,0.09003318,0.08192983,0.47182915,0.59622383,0.36416012,0.7388667,0.6055689,0.5341174,0.5165702,0.5148116,0.5137985,0.61634225,0.47782838,0.49474776,0.48332423,0.5149629,0.51396155,0.61654395,0.5140755,0.5033411
0.035304964,0.4225753,0.06059434,0.28859714,0.19004884,0.0,0.0,0.092424735,7.807258e-08,0.060608875,0.2908798,0.0,0.06982975,0.0,0.092071794,8.143869e-08,0.33959928,0.33398348,0.07899523,1.2686571e-26,1.2692397e-26,0.04654622,0.034270544,0.021677334,0.09291147,0.08254702,0.46884608,0.59046793,0.36584124,0.7124334,0.65079224,0.50418454,0.51657695,0.5148235,0.51380974,0.5887317,0.44285616,0.48977497,0.4833194,0.51497257,0.5139692,0.58892316,0.47900736,0.49622786